x/h,Qstar/Q0star
0.2,1
0.4,1.00216
0.6,1.00701
0.8,1.01452
1,1.02449
1.2,1.03641
1.4,1.04953
1.6,1.06338
1.8,1.07019
2,1.07301
2.2,1.06923
2.4,1.07664
2.6,1.0763
2.8,1.07135
3,1.06773
3.2,1.07231
3.4,1.07466
3.6,1.07978
3.8,1.08356
4,1.0834
4.2,1.07918
4.4,1.07046
4.6,1.06486
4.8,1.06036
5,1.05881
5.2,1.04654
5.4,1.04067
5.6,1.02962
5.8,1.01101
6,0.990162
6.2,0.981379
6.4,0.964581
6.6,0.959333
6.8,0.950887
7,0.946275
7.2,0.954749
7.4,0.960226
7.6,0.962084
7.8,0.96196
8,0.958563
8.2,0.945966
8.4,0.935217
8.6,0.928079
8.8,0.91392
9,0.904936
9.2,0.904108
9.4,0.892814
9.6,0.889701
9.8,0.88194
10,0.858747
10.2,0.831426
10.4,0.816726
10.6,0.780909
10.8,0.757731
11,0.731856
11.2,0.703576
11.4,0.680308
11.6,0.663435
11.8,0.645549
12,0.631704
12.2,0.618233
12.4,0.608983
12.6,0.598281
12.8,0.59125
13,0.581636
13.2,0.575529
13.4,0.570654
13.6,0.564646
13.8,0.56028
14,0.556065
14.2,0.554368
14.4,0.554441
14.6,0.557945
14.8,0.564068
15,0.570344
15.2,0.578705
15.4,0.5955
15.6,0.617227
15.8,0.638611
16,0.664226
16.2,0.684903
16.4,0.706231
16.6,0.732009
16.8,0.751157
17,0.771907
17.2,0.785375
17.4,0.793566
17.6,0.791899
17.8,0.78767
18,0.771688
18.2,0.749738
18.4,0.731562
18.6,0.71078
18.8,0.694716
19,0.671341
19.2,0.643428
19.4,0.621206
19.6,0.590462
19.8,0.56029
20,0.527794
20.2,0.490568
20.4,0.462486
20.6,0.438359
20.8,0.409277
21,0.381611
21.2,0.356856
21.4,0.331956
21.6,0.308096
21.8,0.290116
22,0.272159
22.2,0.251733
22.4,0.230147
22.6,0.208718
22.8,0.191812
23,0.175548
23.2,0.163802
23.4,0.152716
23.6,0.142444
23.8,0.132713
24,0.122141
24.2,0.113267
24.4,0.106495
24.6,0.0997451
24.8,0.0944172
25,0.088461
25.2,0.0834264
25.4,0.0791928
25.6,0.0748435
25.8,0.0708285
26,0.0674054
26.2,0.0644772
26.4,0.0614524
26.6,0.0581071
26.8,0.0552304
27,0.527784
27.2,0.531384
27.4,0.533688
27.6,0.534041
27.8,0.533896
28,0.533721
28.2,0.533521
