y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-10,,-0.0280251,-0.0366664,-0.0497422,-0.0719633,-0.0973923
-9.96552,,-0.027631,-0.0366866,-0.0499239,-0.072172,-0.097538
-9.93103,,-0.0279124,-0.0365643,-0.0499197,-0.0721808,-0.0976249
-9.89655,,-0.028191,-0.0366741,-0.0497692,-0.0721965,-0.0978413
-9.86207,,-0.0277878,-0.0368361,-0.0498558,-0.0724292,-0.09805
-9.82759,,-0.0276656,-0.0367637,-0.0500071,-0.0725867,-0.0981497
-9.7931,,-0.0281076,-0.0367621,-0.0499066,-0.0725501,-0.0983193
-9.75862,,-0.0280375,-0.0369924,-0.049856,-0.0726419,-0.098583
-9.72414,,-0.0276031,-0.0370876,-0.0500568,-0.0728634,-0.0987457
-9.68966,,-0.0278323,-0.0370312,-0.0501229,-0.0728974,-0.0988648
-9.65517,,-0.0281688,-0.0371746,-0.0499981,-0.0728875,-0.0990816
-9.62069,,-0.0278033,-0.0373747,-0.0501014,-0.0731069,-0.0992577
-9.58621,,-0.0276243,-0.0373405,-0.0503266,-0.0733003,-0.0992996
-9.55172,,-0.0280787,-0.0373269,-0.0502962,-0.0732886,-0.0994357
-9.51724,,-0.0280925,-0.0375192,-0.0502608,-0.0734238,-0.0997381
-9.48276,,-0.0276465,-0.0375897,-0.0505056,-0.073799,-0.099983
-9.44828,,-0.027827,-0.0374951,-0.050659,-0.0740707,-0.100186
-9.41379,,-0.0282152,-0.0375832,-0.05058,-0.0742805,-0.100522
-9.37931,,-0.0278874,-0.0377548,-0.0507007,-0.0747114,-0.10088
-9.34483,,-0.0276435,-0.0377203,-0.0509996,-0.0751397,-0.10112
-9.31034,,-0.0280778,-0.0376969,-0.0510538,-0.0752836,-0.101428
-9.27586,,-0.0281585,-0.0378794,-0.051055,-0.0754057,-0.101901
-9.24138,,-0.0276961,-0.0379709,-0.0513605,-0.0756665,-0.10233
-9.2069,,-0.027809,-0.0379017,-0.0516247,-0.0757458,-0.10267
-9.17241,,-0.02823,-0.0379953,-0.0516081,-0.0756447,-0.103076
-9.13793,,-0.0279454,-0.0381791,-0.0517342,-0.0757344,-0.10349
-9.10345,,-0.0276368,-0.0381674,-0.0520629,-0.0759137,-0.103775
-9.06897,,-0.0280404,-0.0381319,-0.0521251,-0.0758686,-0.104069
-9.03448,,-0.0281844,-0.0382808,-0.0520333,-0.0758208,-0.104506
-9,,-0.0277101,-0.0383461,-0.0522264,-0.0759818,-0.104907
-8.96552,,-0.0277483,-0.0382259,-0.0524373,-0.0760329,-0.105198
-8.93103,,-0.0281998,-0.0382455,-0.0523434,-0.0758681,-0.105567
-8.89655,,-0.0279752,-0.0383681,-0.0523531,-0.0758656,-0.106
-8.86207,,-0.0276218,-0.0382964,-0.052628,-0.0760312,-0.106337
-8.82759,,-0.0279986,-0.0381949,-0.0526853,-0.0760325,-0.106645
-8.7931,,-0.0282181,-0.0382918,-0.0525298,-0.076025,-0.107055
-8.75862,,-0.0277584,-0.0383347,-0.0526424,-0.0762903,-0.107453
-8.72414,,-0.027725,-0.0382049,-0.0528465,-0.0765474,-0.107735
-8.68966,,-0.0281913,-0.0382089,-0.0527482,-0.0766067,-0.108044
-8.65517,,-0.028026,-0.0383259,-0.0526958,-0.0767782,-0.1084
-8.62069,,-0.0276101,-0.0382668,-0.052957,-0.0770914,-0.108626
-8.58621,,-0.0279256,-0.0381895,-0.0530847,-0.0771898,-0.108727
-8.55172,,-0.0282004,-0.0383379,-0.0529939,-0.0771833,-0.108857
-8.51724,,-0.0277549,-0.0384616,-0.0531671,-0.0774315,-0.108961
-8.48276,,-0.0276475,-0.0384161,-0.0535054,-0.0777304,-0.108968
-8.44828,,-0.0281226,-0.0384947,-0.053551,-0.077816,-0.10902
-8.41379,,-0.0280318,-0.0386845,-0.0535776,-0.0779806,-0.109124
-8.37931,,-0.0275816,-0.0386829,-0.0539302,-0.0783565,-0.109136
-8.34483,,-0.0278352,-0.0386144,-0.0541838,-0.0785802,-0.109109
-8.31034,,-0.028166,-0.038731,-0.0541375,-0.0786149,-0.109201
