x/h,Uc/U0,Uc_rms/U0
0.2,0.971211,0.0373161
0.4,0.968952,0.0369441
0.6,0.96519,0.0358115
0.8,0.965498,0.0334685
1,0.963056,0.0340792
1.2,0.955023,0.0333581
1.4,0.963356,0.0339398
1.6,0.955945,0.0334533
1.8,0.957595,0.0347855
2,0.959792,0.0357187
2.2,0.957178,0.0373621
2.4,0.961083,0.0376492
2.6,0.96175,0.0402184
2.8,0.961101,0.0407191
3,0.962814,0.0429287
3.2,0.962949,0.0432223
3.4,0.961081,0.0443055
3.6,0.96171,0.0476582
3.8,0.959661,0.0486735
4,0.955816,0.0523997
4.2,0.953509,0.0577528
4.4,0.949435,0.0585772
4.6,0.946429,0.0637291
4.8,0.940565,0.067894
5,0.936376,0.0690826
5.2,0.930532,0.079552
5.4,0.92448,0.0813973
5.6,0.917468,0.0880773
5.8,0.909706,0.0971727
6,0.899735,0.0980019
6.2,0.894128,0.10567
6.4,0.882967,0.109102
6.6,0.879444,0.108947
6.8,0.869396,0.113997
7,0.864083,0.11572
7.2,0.855054,0.116591
7.4,0.848869,0.117772
7.6,0.842188,0.121699
7.8,0.832083,0.124023
8,0.823326,0.130373
8.2,0.812601,0.132883
8.4,0.805236,0.134103
8.6,0.795245,0.136419
8.8,0.788741,0.134789
9,0.780604,0.139461
9.2,0.771611,0.137403
9.4,0.766667,0.136063
9.6,0.756287,0.139849
9.8,0.747835,0.141685
10,0.736853,0.14412
10.2,0.724337,0.145486
10.4,0.714616,0.149758
10.6,0.697211,0.156353
10.8,0.691082,0.156469
11,0.682337,0.153766
11.2,0.671031,0.15909
11.4,0.660279,0.161476
11.6,0.64963,0.166463
11.8,0.640059,0.164392
12,0.63179,0.157036
12.2,0.624541,0.152921
12.4,0.61712,0.146193
12.6,0.612659,0.139703
12.8,0.611973,0.134497
13,0.604687,0.130529
13.2,0.597912,0.133639
13.4,0.594032,0.135706
13.6,0.589819,0.136774
13.8,0.587327,0.136999
14,0.582568,0.139456
14.2,0.585914,0.142558
14.4,0.588378,0.144666
14.6,0.593147,0.149428
14.8,0.594842,0.154139
15,0.603121,0.162276
15.2,0.612519,0.167125
15.4,0.622859,0.169943
15.6,0.635636,0.173083
15.8,0.651878,0.173156
16,0.670188,0.170336
16.2,0.686804,0.167468
16.4,0.700195,0.162504
16.6,0.715547,0.157205
16.8,0.72461,0.149221
17,0.733009,0.139767
17.2,0.740072,0.129714
17.4,0.742952,0.123186
17.6,0.742417,0.117588
17.8,0.738682,0.115189
18,0.731985,0.116664
18.2,0.721601,0.12114
18.4,0.707949,0.127447
18.6,0.687201,0.135306
18.8,0.667367,0.145297
19,0.640444,0.156034
19.2,0.610357,0.163513
19.4,0.580468,0.168136
19.6,0.548215,0.173966
19.8,0.517564,0.178511
20,0.4832,0.177647
20.2,0.447836,0.174045
20.4,0.416489,0.167278
20.6,0.384563,0.159784
20.8,0.35593,0.153341
21,0.326644,0.147317
21.2,0.301721,0.142029
21.4,0.278827,0.136292
21.6,0.258262,0.131343
21.8,0.240377,0.126783
22,0.224506,0.121279
22.2,0.20816,0.114432
22.4,0.192139,0.106412
22.6,0.176156,0.0981475
22.8,0.162562,0.0884705
23,0.149666,0.0782525
23.2,0.139281,0.0697859
23.4,0.129817,0.0603219
23.6,0.120788,0.0518869
23.8,0.11379,0.0436021
24,0.104672,0.0333689
24.2,0.0975484,0.026845
24.4,0.0917486,0.023645
24.6,0.0860101,0.021152
24.8,0.081299,0.0195427
25,0.0763738,0.017739
25.2,0.0717929,0.0163184
25.4,0.0678541,0.0146504
25.6,0.0637478,0.013395
25.8,0.0602527,0.0123111
26,0.056683,0.0110305
26.2,0.0535609,0.00989453
26.4,0.0505817,0.00904892
26.6,0.0476594,0.00807024
26.8,0.0449599,0.00734185
27,0.0419532,0.00649767
27.2,0.0394494,0.0054702
27.4,0.037223,0.00479652
27.6,0.0347884,0.00427641
27.8,0.0324919,0.0036969
28,0.0299274,0.00295686
28.2,0.0278721,0.00237279
