x/h,Urms/Uc
0.2,0.0387842
0.4,0.0376642
0.6,0.0364984
0.8,0.0353132
1,0.0347802
1.2,0.0347941
1.4,0.0342372
1.6,0.0348571
1.8,0.0355518
2,0.0367575
2.2,0.038471
2.4,0.0400572
2.6,0.0421132
2.8,0.0447111
3,0.0464681
3.2,0.0489368
3.4,0.0515222
3.6,0.0543425
3.8,0.0571062
4,0.0607364
4.2,0.0659362
4.4,0.0703127
4.6,0.075995
4.8,0.0803857
5,0.0861074
5.2,0.0911477
5.4,0.0956419
5.6,0.100837
5.8,0.106626
6,0.11085
6.2,0.11763
6.4,0.121996
6.6,0.126377
6.8,0.131156
7,0.134917
7.2,0.138373
7.4,0.141499
7.6,0.144327
7.8,0.147776
8,0.149669
8.2,0.153576
8.4,0.155995
8.6,0.159909
8.8,0.162051
9,0.165346
9.2,0.16763
9.4,0.169709
9.6,0.171802
9.8,0.172634
10,0.175976
10.2,0.177589
10.4,0.179119
10.6,0.180338
10.8,0.181872
11,0.182735
11.2,0.184887
11.4,0.185812
11.6,0.18842
11.8,0.190165
12,0.191806
12.2,0.194212
12.4,0.19572
12.6,0.198032
12.8,0.19862
13,0.198951
13.2,0.200977
13.4,0.202245
13.6,0.205062
13.8,0.209855
14,0.214619
14.2,0.216894
14.4,0.218391
14.6,0.221348
14.8,0.224363
15,0.230156
15.2,0.234623
15.4,0.23697
15.6,0.23989
15.8,0.243599
16,0.245686
16.2,0.246843
16.4,0.250054
16.6,0.25159
16.8,0.253175
17,0.25504
17.2,0.254882
17.4,0.254492
17.6,0.252647
17.8,0.251528
18,0.251855
18.2,0.251267
18.4,0.253033
18.6,0.253699
18.8,0.253925
19,0.254182
19.2,0.255537
19.4,0.256314
19.6,0.255695
19.8,0.25485
20,0.253155
20.2,0.251419
20.4,0.250236
20.6,0.249989
20.8,0.251015
21,0.254976
21.2,0.258558
21.4,0.262236
21.6,0.265834
21.8,0.269869
22,0.274896
22.2,0.280525
22.4,0.286471
22.6,0.293473
22.8,0.300083
23,0.306212
23.2,0.315752
23.4,0.324469
23.6,0.331985
23.8,0.338024
24,0.346859
24.2,0.355399
24.4,0.363186
24.6,0.374435
24.8,0.383772
25,0.394487
25.2,0.405837
25.4,0.416608
25.6,0.427528
25.8,0.436445
26,0.448484
26.2,0.460455
26.4,0.474513
26.6,0.488959
26.8,0.506502
27,0.528272
27.2,0.551021
27.4,0.572146
27.6,0.595759
27.8,0.61953
28,0.63862
28.2,0.64941
