x/h,y0.5/h
0.2,0.479289
0.4,0.481893
0.6,0.483051
0.8,0.481574
1,0.483363
1.2,0.488675
1.4,0.491511
1.6,0.497559
1.8,0.502228
2,0.507123
2.2,0.515816
2.4,0.51867
2.6,0.526142
2.8,0.534769
3,0.542532
3.2,0.546699
3.4,0.551758
3.6,0.555118
3.8,0.55818
4,0.562943
4.2,0.569146
4.4,0.577851
4.6,0.587004
4.8,0.594278
5,0.599565
5.2,0.610344
5.4,0.619229
5.6,0.630846
5.8,0.64813
6,0.667092
6.2,0.679833
6.4,0.698215
6.6,0.709593
6.8,0.722023
7,0.731892
7.2,0.731737
7.4,0.736327
7.6,0.744524
7.8,0.75329
8,0.762836
8.2,0.779708
8.4,0.794609
8.6,0.804692
8.8,0.822361
9,0.836347
9.2,0.843811
9.4,0.860012
9.6,0.871794
9.8,0.887425
10,0.920836
10.2,0.960702
10.4,0.989558
10.6,1.04414
10.8,1.08109
11,1.1241
11.2,1.1787
11.4,1.22511
11.6,1.26537
11.8,1.31153
12,1.35658
12.2,1.40233
12.4,1.44139
12.6,1.48893
12.8,1.52822
13,1.57619
13.2,1.61443
13.4,1.65559
13.6,1.70678
13.8,1.75448
14,1.80848
14.2,1.8607
14.4,1.91304
14.6,1.96262
14.8,2.00772
15,2.06371
15.2,2.11629
15.4,2.13976
15.6,2.15539
15.8,2.17217
16,2.18215
16.2,2.20683
16.4,2.21754
16.6,2.21566
16.8,2.21616
17,2.20713
17.2,2.19539
17.4,2.18802
17.6,2.18165
17.8,2.16614
18,2.16346
18.2,2.15616
18.4,2.13625
18.6,2.10645
18.8,2.06385
19,2.02501
19.2,1.99441
19.4,1.95762
19.6,1.93461
19.8,1.91904
20,1.90559
20.2,1.92392
20.4,1.92483
20.6,1.90685
20.8,1.92938
21,1.94415
21.2,1.95488
21.4,1.99332
21.6,2.01654
21.8,2.02945
22,2.0446
22.2,2.08202
22.4,2.15381
22.6,2.24032
22.8,2.33989
23,2.44121
23.2,2.50587
23.4,2.59507
23.6,2.67388
23.8,2.77128
24,2.90789
24.2,3.0189
24.4,3.10538
24.6,3.20035
24.8,3.28093
25,3.39302
25.2,3.49384
25.4,3.59098
25.6,3.71298
25.8,3.85728
26,3.99279
26.2,4.12736
26.4,4.30044
26.6,4.52697
26.8,4.76177
27,0
27.2,0
27.4,0
27.6,0
27.8,0
28,0
28.2,0
