x/h=0.2,,,,x/h=1,,,,x/h=3,,,,x/h=10,,,,x/h=20,,,x/h=30,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,y/y0.5,U/Uc
1.49285562,0.036845741,,,-2.31526,0.03175,,,2.70688,0.03381,,,3.59023,0.04369,,,-2.67762,0.04931,,2.52605,0.05801
1.386223075,0.040925091,,,-2.21879,0.03287,,,2.61021,0.03231,,,3.47056,0.04234,,,-2.63299,0.04731,,2.49447,0.05578
1.279590531,0.044149094,,,-2.12232,0.03268,,,2.51353,0.03387,,,3.35089,0.04491,,,-2.58836,0.04977,,2.4629,0.05498
1.236937513,0.051452446,,,-2.02585,0.0334,,,2.41686,0.035,,,3.23121,0.0441,,,-2.54373,0.0528,,2.43132,0.05434
1.194284496,0.069908215,,,-1.92938,0.03344,,,2.32019,0.0349,,,3.11154,0.04835,,,-2.49911,0.05863,,2.39975,0.05865
1.151631478,0.105141955,,,-1.83292,0.03436,,,2.22351,0.03774,,,2.99186,0.04765,,,-2.45448,0.05291,,2.36817,0.06448
1.10897846,0.173668454,,,-1.73645,0.03373,,,2.12684,0.0399,,,2.87219,0.05117,,,-2.40985,0.05634,,2.3366,0.06189
1.066325443,0.280554002,,,-1.63998,0.03598,,,2.03016,0.0455,,,2.75251,0.05007,,,-2.36523,0.06183,,2.30502,0.06556
1.023672425,0.419383492,,,-1.54351,0.04378,,,1.93349,0.05249,,,2.63284,0.05473,,,-2.3206,0.05805,,2.27344,0.06823
0.981019407,0.564035925,,,-1.44704,0.05795,,,1.83681,0.06595,,,2.51316,0.058,,,-2.27597,0.0624,,2.24187,0.07593
0.938366389,0.68319242,,,-1.35057,0.09654,,,1.74014,0.0844,,,2.39349,0.06565,,,-2.23135,0.06874,,2.21029,0.07578
0.895713372,0.757706353,,,-1.2541,0.1726,,,1.64346,0.11557,,,2.27382,0.06978,,,-2.18672,0.07091,,2.17872,0.07276
0.853060354,0.803368753,,,-1.15763,0.28083,,,1.54679,0.15494,,,2.15414,0.08422,,,-2.14209,0.06691,,2.14714,0.07686
0.810407336,0.834194164,,,-1.11904,0.33277,,,1.45012,0.2028,,,2.03447,0.0969,,,-2.09747,0.07554,,2.11557,0.07398
0.767754319,0.853867158,,,-1.08046,0.38283,,,1.35344,0.25965,,,1.91479,0.12595,,,-2.05284,0.08057,,2.08399,0.07924
0.725101301,0.873605948,,,-1.04187,0.43671,,,1.25677,0.31867,,,1.79512,0.14832,,,-2.00821,0.0872,,2.05242,0.0837
0.682448283,0.890416817,,,-1.00328,0.49523,,,1.16009,0.38385,,,1.67544,0.18833,,,-1.96358,0.09057,,2.02084,0.08615
0.639795266,0.902885153,,,-0.96469,0.54987,,,1.12142,0.41405,,,1.55577,0.23398,,,-1.91896,0.10022,,1.98926,0.09896
0.533162721,0.934500115,,,-0.9261,0.60713,,,1.08275,0.4362,,,1.43609,0.28331,,,-1.87433,0.10662,,1.95769,0.09824
